Date,ATVI,CBS,CTL,CHTR,CMCSA,DISCA,DISCK,DISH,EA,FB,FOXA,FOX,DIS
2016-01-04,36.604976654052734,44.75948715209961,18.15406608581543,177.52999877929688,25.743144989013672,26.40999984741211,25.15999984741211,57.290000915527344,66.09999847412111,102.22000122070312,25.68361854553223,25.699995040893555,98.34313201904295
2016-01-05,36.1379280090332,44.2509651184082,18.067306518554688,175.1699981689453,25.74777412414551,26.46999931335449,25.270000457763672,57.349998474121094,64.94000244140625,102.7300033569336,25.68361854553223,25.69033622741699,96.35680389404295
2016-01-06,35.797367095947266,44.26055145263672,17.87210464477539,174.30999755859375,25.54882431030273,26.28000068664551,25.10000038146973,56.06000137329102,63.68000030517578,102.97000122070312,25.809186935424805,25.5937557220459,95.84110260009766
2016-01-07,35.29140090942383,43.5025749206543,17.510610580444336,173.6300048828125,25.2665958404541,25.479999542236328,24.31999969482422,54.86000061035156,62.459999084472656,97.91999816894531,25.007476806640625,25.033588409423828,95.01982879638672
2016-01-08,34.746505737304695,44.57718276977539,17.329862594604492,174.88999938964844,25.29435157775879,26.01000022888184,25.0,53.81000137329102,63.13000106811523,97.33000183105469,25.007476806640625,25.04324722290039,94.78108978271484
2016-01-11,35.2330207824707,44.88421630859375,17.438316345214847,175.6300048828125,25.31748962402344,25.82999992370605,24.85000038146973,53.2400016784668,64.20999908447266,97.51000213623048,24.99781990051269,25.11085700988769,95.4209213256836
2016-01-12,36.118465423583984,45.1144905090332,16.917766571044922,175.32000732421875,25.38688850402832,26.32999992370605,25.25,53.93999862670898,65.62000274658203,99.37000274658205,25.51941108703613,25.55512237548828,96.8915786743164
2016-01-13,33.919445037841804,43.1187858581543,16.64303970336914,167.99000549316406,24.77615737915039,25.540000915527344,24.6200008392334,52.06999969482422,63.38000106811523,95.44000244140624,24.99781990051269,24.92735290527344,94.04576110839844
2016-01-14,34.444873809814446,44.836238861083984,17.272027969360348,172.30999755859375,25.470172882080078,26.29999923706055,25.420000076293945,51.72999954223633,64.48000335693361,98.37000274658205,25.654640197753906,25.86418151855469,94.64739990234376
2016-01-15,33.968090057373054,44.02069854736328,16.838241577148438,165.0800018310547,24.9334659576416,25.88999938964844,25.06999969482422,49.93999862670898,66.05999755859375,94.97000122070312,25.210317611694336,25.27503967285156,89.67198181152344
2016-01-19,34.20161819458008,43.55054473876953,16.787633895874027,167.3800048828125,25.100032806396484,25.790000915527344,25.21999931335449,48.9000015258789,67.37000274658203,95.26000213623048,25.46145820617676,25.6710205078125,89.73883056640625
2016-01-20,33.77349090576172,42.23606872558594,16.079105377197266,170.50999450683594,24.80392074584961,25.53000068664551,25.020000457763672,48.36000061035156,66.84999847412111,94.3499984741211,24.766000747680664,24.86940193176269,88.37321472167969
2016-01-21,33.627540588378906,43.91514587402344,16.353843688964847,169.4499969482422,25.13241958618164,25.88999938964844,25.540000915527344,47.66999816894531,67.02999877929689,94.16000366210938,24.65009117126465,24.74384880065918,89.78657531738281
2016-01-22,34.95083999633789,45.0377311706543,17.206962585449222,174.72000122070312,25.599721908569336,26.899999618530273,26.43000030517578,49.099998474121094,69.36000061035156,97.94000244140624,25.48077392578125,25.50683403015137,92.53689575195312
2016-01-25,33.79294967651367,44.41407775878906,17.178041458129886,172.33999633789062,25.08152198791504,26.25,25.920000076293945,47.06000137329102,69.91999816894531,97.01000213623048,25.113725662231445,25.11085700988769,90.99939727783205
2016-01-26,34.34757232666016,45.584632873535156,17.756423950195312,172.1699981689453,25.373010635375977,27.420000076293945,27.1200008392334,48.36000061035156,70.83000183105469,97.33999633789062,25.99271011352539,26.03802299499512,91.93526458740234
2016-01-27,33.15076065063477,45.4215202331543,17.807035446166992,165.2899932861328,25.039884567260746,27.10000038146973,26.790000915527344,47.09000015258789,69.48999786376953,94.4499969482422,25.67395782470703,25.6710205078125,90.07306671142578
2016-01-28,32.878311157226555,44.41407775878906,17.94440269470215,167.3000030517578,25.035261154174805,26.729999542236328,26.440000534057614,47.0,69.79000091552734,109.11000061035156,25.23929786682129,25.332988739013672,89.31864166259766
2016-01-29,33.880523681640625,45.57504653930664,18.37819099426269,171.36000061035156,25.775531768798828,27.59000015258789,27.209999084472656,48.27000045776367,64.55000305175781,112.20999908447266,26.0506649017334,26.173236846923828,91.50553131103516
2016-02-01,33.73456573486328,45.96842956542969,18.7252254486084,175.75,25.82180404663086,27.63999938964844,27.38999938964844,47.88000106811523,64.19999694824219,115.08999633789062,26.0506649017334,26.18289566040039,90.86569213867188
2016-02-02,32.518295288085945,44.74029922485352,18.226362228393555,172.0,25.25734138488769,26.399999618530273,26.059999465942386,46.7599983215332,60.65999984741211,114.61000061035156,25.113725662231445,25.16880226135254,88.9271011352539
2016-02-03,32.22638702392578,46.30424118041992,18.855358123779297,176.4499969482422,26.761030197143555,27.270000457763672,26.88999938964844,47.68000030517578,59.61000061035156,112.69000244140624,25.587024688720703,25.5937557220459,90.85614013671876
2016-02-04,31.078227996826172,46.44816589355469,19.187931060791016,170.5,26.93221092224121,27.70000076293945,27.190000534057614,47.790000915527344,58.72999954223633,110.48999786376952,25.19099998474121,25.332988739013672,91.13308715820312
2016-02-05,29.70627021789551,44.37568664550781,19.2385368347168,168.5399932861328,27.48742866516113,27.209999084472656,26.59000015258789,45.56000137329102,55.5,104.06999969482422,24.215429306030273,24.18368721008301,89.67198181152344
2016-02-08,27.945104598999023,42.562294006347656,18.53001594543457,162.58999633789062,27.48280143737793,26.020000457763672,25.38999938964844,42.27000045776367,56.31999969482422,99.75,23.75179100036621,23.700782775878906,87.97212982177734
