Date,AAP,AMZN,APTV,AZO,BKNG,BWA,CPRI,CCL,CMG,DHI,DRI,DG,DLTR,EBAY,EXPE,FL,F
2016-01-04,151.37393188476562,636.989990234375,66.96931457519531,735.47998046875,1245.3699951171875,40.27507400512695,40.36999893188477,49.07484436035156,448.80999755859375,29.19826316833496,56.10736465454102,69.34945678710939,78.80999755859375,26.3315372467041,117.150146484375,60.18694686889648,11.371358871459961
2016-01-05,150.33984375,633.7899780273438,65.11150360107422,738.8599853515625,1210.68994140625,39.62685012817383,40.72000122070313,48.60401916503906,449.0299987792969,29.22708511352539,57.126686096191406,69.75170135498047,79.9800033569336,26.022693634033203,116.3064193725586,61.0347900390625,11.16786003112793
2016-01-06,146.36257934570312,632.6500244140625,63.38125610351562,729.2000122070312,1196.7099609375,38.330421447753906,39.7599983215332,48.459144592285156,426.6700134277344,28.49689292907715,56.70312881469727,69.63678741455078,80.5199966430664,26.31161117553711,115.4433135986328,60.11323547363281,10.671331405639648
2016-01-07,147.98330688476562,607.9400024414062,59.83305358886719,735.9600219726562,1167.18994140625,35.94728469848633,38.959999084472656,47.435997009277344,416.0,27.41120338439941,56.30660629272461,68.80355072021484,78.44999694824219,25.594295501708984,111.34112548828124,59.38520431518555,10.33759880065918
2016-01-08,144.73191833496094,607.0499877929688,58.66892623901367,712.0599975585938,1136.9599609375,34.88916778564453,37.790000915527344,47.12815475463867,413.2900085449219,26.24865531921387,55.8830451965332,68.43962097167969,77.79000091552734,25.65406990051269,108.04385375976562,57.78168869018555,10.207358360290527
2016-01-11,146.21343994140625,617.739990234375,60.47092819213867,718.6900024414062,1136.280029296875,35.165611267089844,37.13999938964844,48.83942794799805,411.1000061035156,26.61374855041504,55.83798217773438,66.696533203125,77.36000061035156,26.00276756286621,107.8401870727539,57.70795822143555,10.394577980041504
2016-01-12,147.22763061523438,617.8900146484375,59.76129150390625,728.989990234375,1148.9200439453125,35.65177917480469,37.52000045776367,49.50945663452149,404.260009765625,27.09414291381836,56.33363723754883,67.74045562744139,78.69999694824219,26.11235618591309,108.51905059814452,58.39913558959961,10.459694862365724
2016-01-13,141.35125732421875,581.8099975585938,55.93401718139648,704.2000122070312,1098.9000244140623,32.25818634033203,36.150001525878906,47.42694473266602,428.2799987792969,26.17178726196289,55.74785995483398,65.58557891845703,75.4800033569336,25.315338134765625,103.15613555908205,57.03908157348633,9.9306058883667
2016-01-14,140.51603698730472,593.0,55.351951599121094,712.6099853515625,1121.3800048828123,31.32399559020996,36.11000061035156,47.02855682373047,454.2999877929688,25.864337921142575,55.576637268066406,65.49936676025389,75.69999694824219,25.76366233825684,104.4168472290039,56.946556091308594,9.922465324401855
2016-01-15,143.46913146972656,570.1799926757812,53.79712295532226,704.739990234375,1086.739990234375,29.61766624450684,35.56999969482422,45.11807632446289,475.9400024414063,25.604928970336914,54.2789192199707,65.96865081787111,75.30000305175781,25.16589546203613,99.65520477294922,56.11387252807617,9.743389129638672
2016-01-19,143.7972412109375,574.47998046875,53.69345474243164,715.7100219726562,1094.5,28.92179107666016,35.7599983215332,44.429935455322266,469.4700012207031,25.87394714355469,54.81964111328125,67.366943359375,76.88999938964844,25.67399597167969,102.13785552978516,58.18633651733398,9.727109909057617
2016-01-20,142.57423400878906,571.77001953125,52.40176391601562,713.6599731445312,1081.3299560546877,28.721607208251953,36.4900016784668,43.74181365966797,465.5,25.43198585510254,53.77424621582031,67.26158905029297,76.02999877929688,25.72381019592285,103.06883239746094,57.58494567871094,9.686410903930664
2016-01-21,142.98191833496094,575.02001953125,51.90740585327149,717.72998046875,1089.1400146484377,27.863677978515625,37.5099983215332,44.882659912109375,461.20001220703125,25.604928970336914,54.36001968383789,67.81706237792969,77.02999877929688,25.9928035736084,103.18523406982422,59.73143005371094,9.775949478149414
2016-01-22,143.60833740234375,596.3800048828125,51.85956954956055,728.3200073242188,1118.1099853515623,27.720687866210934,38.40999984741211,44.882659912109375,450.760009765625,26.623353958129886,55.81093978881836,68.82269287109375,77.26000213623047,26.3315372467041,103.88346862792969,60.32356643676758,9.881768226623537
2016-01-25,143.8966827392578,596.530029296875,51.25357055664063,728.52001953125,1097.9300537109377,26.91041755676269,36.72999954223633,44.18547058105469,442.1700134277344,25.36473274230957,55.396400451660156,69.12918090820311,76.5999984741211,26.04261779785156,102.03117370605469,59.64816284179688,9.7515287399292
2016-01-26,150.6083221435547,601.25,52.92003631591797,743.5900268554688,1111.5400390625,27.40611457824707,37.790000915527344,45.10902404785156,448.1499938964844,26.26786804199219,56.46881866455078,70.57535552978516,77.69000244140625,26.55071830749512,101.7596435546875,61.183998107910156,9.97944450378418
2016-01-27,150.6580047607422,583.3499755859375,52.80840301513672,744.2899780273438,1043.699951171875,27.63489532470703,38.02999877929688,43.506385803222656,442.6400146484375,25.768259048461914,56.40574264526367,70.9105453491211,77.97000122070312,26.321575164794922,96.52279663085938,60.8046760559082,9.76518726348877
2016-01-28,147.71482849121094,635.3499755859375,51.14194869995117,747.5499877929688,1043.1300048828123,27.13920593261719,38.72999954223633,42.42891693115234,453.0799865722656,25.72982788085937,57.00953674316406,70.29762268066406,78.91000366210938,23.04383087158203,95.70817565917969,62.27574157714844,9.649818420410156
2016-01-29,151.18499755859375,587.0,51.77983474731445,767.3900146484375,1064.969970703125,27.98759841918945,39.900001525878906,43.57883071899414,452.9700012207031,26.43120574951172,56.82930374145508,71.887451171875,81.31999969482422,23.372600555419922,97.9871597290039,62.50704574584961,9.83935260772705
