Date,ADM,CPB,CHD,CLX,CL,CAG,COST,COTY,EL,GIS
2016-01-04,32.44620132446289,46.39065933227539,39.24412155151367,114.42628479003906,59.64532089233398,29.49612045288086,147.8763427734375,22.667224884033203,83.36216735839844,50.63936996459961
2016-01-05,32.80832290649414,46.56128311157226,38.91046524047852,116.07948303222656,59.91262435913086,29.517417907714844,148.23780822753906,22.65814208984375,84.12686920166016,50.41023254394531
2016-01-06,32.011653900146484,46.48046875,38.72719192504883,116.02468872070312,59.11993408203125,29.67363739013672,146.8660125732422,21.95859146118164,81.335693359375,49.99602508544922
2016-01-07,31.251190185546875,45.91308975219727,38.10217666625977,114.75511169433594,58.07837677001953,28.658241271972656,143.50143432617188,21.322633743286133,79.65335845947266,48.94797134399414
2016-01-08,31.133506774902344,46.17509841918945,38.56271743774414,115.24832153320312,57.654380798339844,28.800256729125977,140.98953247070312,21.28629493713379,79.16585540771484,49.10784149169922
2016-01-11,30.9252872467041,46.43709182739258,38.82587814331055,116.61837768554688,57.89402770996094,28.537532806396484,143.40870666503906,20.668514251708984,79.22320556640625,49.65851593017578
2016-01-12,31.024866104125977,48.31626510620117,39.347503662109375,117.27599334716795,58.41941833496094,28.892562866210934,144.6507568359375,21.031909942626953,80.5136489868164,50.06708145141602
2016-01-13,30.30062294006348,47.6928825378418,36.96023941040039,117.0111083984375,57.98620223999024,28.068889617919922,140.99880981445312,20.504980087280273,79.43351745605469,49.11671829223633
2016-01-14,30.201040267944336,48.32529830932617,36.76287841796875,116.28955841064452,58.55767059326172,28.42392158508301,141.98130798339844,20.11432456970215,80.56143188476562,49.16112899780274
2016-01-15,28.526222229003906,47.87356948852539,37.09182357788086,115.8694076538086,58.39175796508789,27.7209587097168,139.39527893066406,19.79634666442871,78.71658325195312,48.619346618652344
2016-01-19,27.62091445922852,49.08418655395508,37.10592651367188,116.58182525634766,59.25819778442383,27.60024642944336,139.46940612792972,19.941707611083984,80.17908477783203,49.22329711914063
2016-01-20,28.32705116271973,48.87639617919922,36.8991584777832,114.52677154541016,57.56219482421875,27.479534149169922,137.94004821777344,20.850215911865234,79.27099609375,48.4594612121582
2016-01-21,28.89739799499512,48.86736297607422,37.22340393066406,114.9834442138672,59.02746200561523,27.87006950378418,139.38600158691406,20.395959854125977,79.62467956542969,48.06866073608398
2016-01-22,30.08334350585937,49.37329483032226,38.09748077392578,116.53614807128906,59.91772842407226,28.580135345458984,142.4540252685547,20.804786682128906,81.90924072265625,49.14336776733398
2016-01-25,29.35910415649414,49.337158203125,37.33618927001953,114.90052032470705,59.28712463378906,27.74935913085937,139.75674438476562,20.395959854125977,79.78717041015625,48.67263412475586
2016-01-26,30.44547271728516,49.82501983642578,37.74033737182617,115.36914825439452,59.65807723999024,28.04758644104004,137.6434326171875,21.040998458862305,79.90188598632812,48.96573257446289
2016-01-27,30.54505157470703,49.68950271606445,37.83431625366211,114.532958984375,59.63025283813477,28.16302490234375,136.92974853515622,21.095508575439453,78.7643814086914,48.7969741821289
2016-01-28,31.41415023803711,50.3490104675293,38.34183883666992,115.81022644042969,60.2979507446289,28.71426010131836,138.65376281738278,21.304466247558594,79.99747467041016,49.036781311035156
2016-01-29,32.00259780883789,50.96335220336914,39.474388122558594,118.58534240722656,62.62567138671875,29.8095703125,140.07192993164062,22.358333587646484,81.48863220214844,50.19142150878906
2016-02-01,32.10218048095703,51.36990737915039,39.97721481323242,121.12152862548828,61.39226913452149,30.05296516418457,140.19239807128906,22.08578109741211,81.68938446044922,50.333534240722656
2016-02-02,29.295734405517575,50.87301254272461,40.31086349487305,118.6220932006836,60.6132698059082,29.286968231201172,137.6434326171875,22.44918441772461,81.26878356933594,49.56080627441406
2016-02-03,30.27345848083496,50.854942321777344,40.917083740234375,120.45989227294922,61.23461151123047,29.44446182250977,135.97503662109378,22.358333587646484,82.64524841308594,49.44534683227539
2016-02-04,31.00676727294922,49.99667358398438,40.76200485229492,114.59727478027344,61.19751739501953,28.656984329223636,132.80506896972656,25.76523017883301,83.17098999023438,48.95685577392578
2016-02-05,30.843809127807614,50.44839477539063,40.837196350097656,114.29403686523438,61.38299560546875,28.19881629943848,133.46316528320312,25.48359298706055,86.97538757324219,49.17889022827149
2016-02-08,30.14671897888184,50.800743103027344,41.00166702270508,116.73831939697266,61.27170944213867,28.01268768310547,136.27165222167972,24.248027801513672,85.6753921508789,49.48976516723633
2016-02-09,30.400203704833984,51.68611145019531,41.584388732910156,118.24532318115234,61.095497131347656,28.42074012756348,137.1243896484375,24.90214920043945,86.44967651367188,49.68516540527344
2016-02-10,30.0380802154541,52.30046081542969,41.551490783691406,117.53778076171876,61.03058242797852,28.80732345581055,137.598388671875,24.55691719055176,84.56658172607422,49.81838989257813
2016-02-11,28.8961238861084,51.79452514648438,41.035118103027344,116.68318939208984,59.76007461547852,28.82164001464844,136.29722595214844,24.30253601074219,82.91291046142578,49.720680236816406
2016-02-12,29.645252227783203,52.616661071777344,41.96364974975586,117.19778442382812,60.92857360839844,29.78092765808105,138.15602111816406,24.057239532470703,84.41363525390625,50.52893447875977
2016-02-16,30.7141227722168,53.70079040527344,42.46580123901367,117.7307586669922,61.03058242797852,29.902631759643555,138.58355712890622,24.52966499328613,84.7099609375,51.21284103393555
2016-02-17,30.513139724731445,55.01982116699219,42.579498291015625,118.9253387451172,62.18981170654297,29.852519989013672,140.25648498535156,26.31942176818848,86.09598541259766,51.63916778564453
