Date,ABT,ABBV,ABMD,A,ALXN,ALGN,AGN,ABC,AMGN,ANTM,BAX,BDX,BIIB,BSX,BMY,CAH,CELG,CNC,CERN,CI,COO,CVS,DHR,DVA,EW,GILD,DGX
2016-01-04,39.84135437011719,50.2148323059082,85.23999786376953,39.44261169433594,184.67999267578125,64.26999664306639,296.7590637207031,96.2972183227539,144.6692657470703,132.67155456542972,35.89807510375977,141.1182861328125,294.6199951171875,17.989999771118164,61.37673950195313,78.89076232910156,117.62000274658205,33.014999389648445,58.15999984741211,146.3997039794922,131.72064208984378,88.26265716552734,46.3800048828125,68.66999816894531,78.83999633789062,89.35540771484375,65.55283355712889
2016-01-05,39.83206558227539,50.00564193725586,85.0,39.3068962097168,184.8999938964844,64.94999694824219,297.97528076171875,97.70567321777344,144.51397705078125,134.606201171875,36.042945861816406,141.56661987304688,296.70001220703125,18.18000030517578,62.58541488647461,80.44255065917969,117.95999908447266,33.485000610351555,58.08000183105469,143.99217224121094,131.44091796875,88.51886749267578,46.46601104736328,69.12000274658203,80.01000213623047,90.49504852294922,65.57138061523439
2016-01-06,39.49796676635742,50.01435089111328,85.30000305175781,39.48139190673828,184.07000732421875,64.87000274658203,292.879150390625,96.21212768554688,143.1891632080078,131.3182373046875,36.12985610961914,140.15492248535156,293.67999267578125,18.0,61.48662948608398,78.25390625,116.70999908447266,32.985000610351555,57.61999893188477,142.88328552246094,131.45089721679688,87.43915557861328,45.92470932006836,68.16000366210939,80.44000244140625,91.44320678710938,64.55233001708984
2016-01-07,38.551361083984375,49.86617660522461,81.91999816894531,37.80441665649414,174.3699951171875,63.5,292.589599609375,93.13993072509766,139.77203369140622,129.06906127929688,35.53107833862305,137.856201171875,284.010009765625,17.639999389648438,59.78348922729492,76.24464416503906,111.88999938964844,31.78499984741211,57.66999816894531,141.22499084472656,127.82474517822266,86.17642211914062,44.7459831237793,67.62000274658203,77.55999755859375,87.75082397460938,63.13490676879883
2016-01-08,37.74394607543945,48.50643539428711,84.58000183105469,37.406982421875,168.1300048828125,64.52999877929689,289.0281677246094,92.60110473632812,137.69802856445312,125.9240951538086,34.96126937866211,135.78642272949222,280.58999633789057,17.430000305175778,58.26349258422852,75.22206115722656,108.9800033569336,31.274999618530273,58.7400016784668,138.59771728515622,128.573974609375,85.60909271240234,44.77126693725586,67.66999816894531,76.04000091552734,87.93315887451172,62.8088493347168
2016-01-11,37.79962539672852,46.96364212036133,85.0,36.77690505981445,161.64999389648438,61.0,288.9413146972656,88.9144515991211,134.93876647949222,122.3311538696289,34.37213897705078,134.63229370117188,278.54000854492193,17.129999160766598,57.66831588745117,71.10484313964844,103.02999877929688,30.40999984741211,57.2599983215332,134.59181213378906,127.52507781982422,86.85352325439453,44.7459831237793,67.23000335693361,75.93000030517578,87.97874450683594,63.29329299926758
2016-01-12,38.47710800170898,47.8004035949707,88.31999969482422,37.01924514770508,166.1199951171875,61.77000045776367,285.7176513671875,89.02788543701172,137.77114868164062,129.23112487792972,34.265907287597656,135.87226867675778,278.67001342773443,17.790000915527344,58.089515686035156,71.66098022460938,106.8499984741211,31.520000457763672,59.15999984741211,138.93734741210938,127.4651336669922,87.55811309814453,44.79657745361328,67.44999694824219,77.75,88.52576446533203,63.5727767944336
2016-01-13,37.61791229248047,45.078773498535156,85.80999755859375,35.73002624511719,157.9199981689453,58.86000061035156,277.32070922851557,88.04478454589844,132.90130615234378,127.83965301513672,33.63814926147461,134.85169982910156,267.25,17.549999237060547,56.1116943359375,70.11815643310547,100.66999816894531,30.6299991607666,58.33000183105469,135.12126159667972,125.3174057006836,86.11238861083984,43.76961898803711,66.12999725341797,74.80999755859375,84.36844635009766,62.11946487426758
2016-01-14,38.38372039794922,48.05583572387695,87.87999725341797,36.45703125,167.2899932861328,59.9900016784668,288.7000427246094,88.59305572509766,139.93649291992188,131.61367797851562,34.10172271728516,138.69561767578122,280.57000732421875,18.15999984741211,58.15360641479492,73.3563003540039,105.62000274658205,31.290000915527344,58.18999862670898,138.57771301269528,123.90889739990234,87.39341735839844,44.16926574707031,67.44999694824219,77.0999984741211,84.80604553222656,62.32441711425781
2016-01-15,37.86073303222656,50.50442886352539,87.41000366210938,35.972354888916016,158.67999267578125,59.86000061035156,284.9551696777344,87.69500732421875,138.23709106445312,128.64974975585938,33.89890670776367,135.85321044921878,273.32998657226557,17.8700008392334,57.48518753051758,72.87191772460938,103.05999755859376,30.45499992370605,56.77000045776367,136.09027099609378,121.731201171875,85.92021942138672,43.096778869628906,66.47000122070311,74.69000244140625,83.7302474975586,61.27170944213867
2016-01-19,37.75799560546875,48.43457412719727,86.25,36.05959701538086,156.75,59.77000045776367,281.62530517578125,87.47761535644531,138.23709106445312,130.42239379882812,34.150012969970696,135.91995239257812,269.85000610351557,17.569999694824222,57.87891006469727,73.1769027709961,102.98999786376952,31.2549991607666,56.38999938964844,139.7764892578125,120.88209533691406,86.98163604736328,43.30925750732422,65.70999908447266,74.5199966430664,81.96155548095703,61.00154495239258
2016-01-20,37.31905746459961,50.33707809448242,83.16999816894531,36.11775207519531,159.88999938964844,60.33000183105469,282.7352600097656,85.92732238769531,141.6359100341797,131.03231811523438,33.57053756713867,134.355712890625,269.35000610351557,17.540000915527347,58.19023513793945,72.01081085205078,107.48999786376952,31.270000457763672,56.02999877929688,139.08718872070312,124.0395278930664,86.50829315185547,43.00065612792969,65.41000366210939,75.48999786376953,82.55416870117188,60.55436706542969
