Date,ACN,ADBE,AMD,AKAM,ADS,APH,ADI,ANSS,AAPL,AMAT,ANET,ADSK,ADP,AVGO,BR,CDNS,CSCO,CTXS,CTSH,DXC,FFIV,FIS,FISV,FLT,FLIR,FTNT,CRM
2016-01-04,95.31629943847656,91.97000122070312,2.7699999809265137,52.31000137329102,264.9019775390625,49.35159301757813,50.52161407470703,90.0999984741211,99.49910736083984,17.579679489135742,77.4000015258789,60.31000137329102,76.35222625732422,131.95057678222656,49.471961975097656,20.530000686645508,23.76581382751465,58.67324447631836,56.83982849121094,26.39865875244141,96.93000030517578,57.3851432800293,44.75,140.6300048828125,27.44571304321289,30.229999542236328,76.70999908447266
2016-01-05,95.81239318847656,92.33999633789062,2.75,52.02000045776367,267.18338012695307,48.79861068725586,50.15040969848633,89.41999816894531,97.00572967529295,17.598712921142578,78.27999877929688,60.38999938964844,76.53828430175781,127.5361328125,49.98188781738281,20.540000915527344,23.65782928466797,58.18278503417969,56.83982849121094,25.90639305114746,96.5199966430664,57.74913787841797,44.95500183105469,136.75999450683594,28.93494033813477,29.84000015258789,77.05000305175781
2016-01-06,95.62519073486328,91.0199966430664,2.509999990463257,50.47999954223633,263.41036987304693,47.644126892089844,48.01594924926758,88.29000091552734,95.10736083984376,16.875349044799805,73.52999877929688,59.540000915527344,75.5986557006836,123.61325073242188,49.59473419189453,20.200000762939453,23.40586280822754,58.53085327148438,55.86201477050781,25.647743225097656,95.0199966430664,56.68590927124024,44.6150016784668,132.66000366210938,29.06859016418457,29.5,76.29000091552734
2016-01-07,92.81710052490234,89.11000061035156,2.2799999713897705,48.18999862670898,255.4645538330078,45.92696762084961,46.79095840454102,87.2300033569336,91.09339904785156,16.380414962768555,68.75,55.97999954223633,73.29142761230469,119.68106842041016,47.99885559082031,19.75,22.86593437194824,56.11019515991211,55.38290786743164,25.29732322692871,91.81999969482422,56.69548797607422,44.10499954223633,128.5,28.658100128173828,29.170000076293945,74.30000305175781
2016-01-08,91.9185028076172,87.8499984741211,2.1400001049041752,48.099998474121094,250.5703887939453,45.23815536499024,46.38262557983398,85.4000015258789,91.5750732421875,15.98066234588623,68.87000274658203,55.06000137329102,72.68671417236328,118.8927764892578,47.66835403442383,19.239999771118164,22.29901123046875,55.12136459350586,54.52242660522461,24.61315727233887,92.12999725341795,55.6801643371582,43.76499938964844,129.25999450683594,28.90630531311035,28.61000061035156,73.2300033569336
2016-01-11,92.88262176513672,89.37999725341797,2.3399999141693115,45.459999084472656,246.77780151367188,44.888893127441406,47.48696899414063,85.2699966430664,93.05786895751952,15.875965118408205,68.01000213623047,55.22999954223633,73.04025268554688,118.744384765625,47.8477668762207,19.280000686645508,22.739953994750977,54.4806022644043,54.87443923950195,24.67156219482422,93.5199966430664,56.45602798461914,43.97000122070313,125.55999755859376,29.746376037597656,28.35000038146973,73.18000030517578
2016-01-12,94.54875946044922,89.81999969482422,2.390000104904175,46.88000106811523,250.84336853027344,46.0142707824707,47.93243408203125,86.41000366210938,94.408447265625,15.94258975982666,66.48000335693361,54.790000915527344,73.93335723876953,120.48789978027344,48.414344787597656,19.13999938964844,22.811941146850586,55.99944686889648,58.32609176635742,24.87180519104004,92.61000061035156,57.46177291870117,44.65499877929688,124.29000091552734,29.689104080200195,28.729999542236328,74.45999908447266
2016-01-13,92.91069793701172,88.30000305175781,2.25,45.81999969482422,242.361328125,45.16053771972656,46.493995666503906,84.44999694824219,91.98119354248048,15.419100761413574,64.70999908447266,50.86999893188477,71.9517593383789,114.35778045654295,46.8751335144043,18.65999984741211,22.13703727722168,53.21490478515625,56.48781967163086,24.04580116271973,94.0,56.6284408569336,43.415000915527344,117.66000366210938,29.86093521118164,28.38999938964844,72.3499984741211
2016-01-14,95.36310577392578,89.80000305175781,2.2100000381469727,46.90999984741211,249.81964111328125,45.31576538085938,46.86520004272461,84.9000015258789,93.99288940429688,15.99969482421875,65.38999938964844,52.6500015258789,73.48680877685547,116.10130310058594,47.90442276000977,19.3799991607666,22.19102668762207,53.301918029785156,58.8736572265625,24.579782485961914,94.16000366210938,57.75870895385742,44.51499938964844,120.0199966430664,30.30006980895996,29.290000915527344,73.06999969482422
2016-01-15,92.92005157470705,89.16999816894531,2.0299999713897705,44.150001525878906,244.9839172363281,44.132179260253906,46.23414993286133,84.97000122070312,91.73563385009766,15.30488395690918,64.84999847412111,49.4000015258789,72.4913558959961,111.26026153564452,47.60224914550781,19.0,21.255151748657227,52.44756698608398,57.406959533691406,24.246049880981445,93.5199966430664,55.99625015258789,43.66999816894531,118.16000366210938,29.84184455871582,28.28000068664551,70.86000061035156
2016-01-19,94.89508056640624,89.18000030517578,1.950000047683716,45.43999862670898,245.6566467285156,44.06426239013672,45.8350944519043,84.98999786376953,91.29171752929688,15.657049179077148,62.599998474121094,47.59000015258789,73.59844970703125,111.3530044555664,47.97997283935547,18.850000381469727,21.46212577819824,52.265625,58.60965347290039,24.09586524963379,93.5,56.2357177734375,44.52000045776367,114.8499984741211,28.84902381896973,26.459999084472656,70.80000305175781
2016-01-20,92.7234878540039,87.94000244140625,1.7999999523162842,46.11000061035156,240.7819061279297,45.12173080444336,46.93944931030274,84.70999908447266,91.41452026367188,15.58090591430664,63.36000061035156,47.9000015258789,72.77045440673828,114.84002685546876,47.44172668457031,19.040000915527344,20.607240676879886,52.60577774047852,57.93497085571289,24.37953948974609,90.0199966430664,55.45027160644531,44.474998474121094,114.9000015258789,28.81083869934082,25.989999771118164,70.33000183105469
