Date,ALK,ALLE,AAL,AME,AOS,ARNC,BA,CAT,CTAS,CPRT,CSX,CMI,DE,DAL,DOV,ETN,EMR,EFX,EXPD,FAST,FDX,FLS,FLR,FTV,FBHS,GD,GE
2016-01-04,73.88221740722656,62.7364730834961,39.61961364746094,51.4850959777832,35.62388610839844,20.990047454833984,128.03810119628906,60.43963623046875,85.24658203125,18.834999084472656,24.336875915527344,81.58840942382812,70.89102935791016,45.15002059936523,45.680419921875,46.27306365966797,42.229881286621094,105.13957977294922,42.428653717041016,36.39973068237305,138.946044921875,39.75912094116211,45.06898498535156,,52.31267929077149,127.0938720703125,26.390478134155273
2016-01-05,72.64772033691406,62.66840744018555,39.241920471191406,51.2210693359375,35.42486572265625,20.03890419006348,128.55754089355472,59.80849075317383,85.38175964355469,18.8700008392334,24.09152793884277,80.7903823852539,71.30101013183594,45.0665168762207,44.81335067749024,45.94520568847656,41.95310974121094,105.77359771728516,42.70665740966797,36.00122833251953,140.12791442871094,38.916805267333984,44.190467834472656,,51.67402267456055,127.62625885009766,26.41625595092773
2016-01-06,73.6937484741211,61.025390625,39.92952728271485,50.057395935058594,34.72357940673828,18.6121826171875,126.5162124633789,58.86619567871094,84.99554443359375,18.524999618530273,22.99688720703125,80.41858673095703,70.49967193603516,45.40054321289063,43.8647575378418,45.1211166381836,41.47099685668945,104.9282455444336,41.83430862426758,36.10084915161133,136.36921691894528,38.12181091308594,42.98131942749024,,49.92963409423828,126.3372802734375,25.995180130004886
2016-01-07,69.72634124755861,59.26569747924805,39.17412567138672,48.87416458129883,33.027198791503906,17.87721061706543,121.2124252319336,56.83940124511719,83.88518524169922,17.829999923706055,22.289146423339844,79.0673828125,69.87535858154297,43.60976028442383,43.23483657836914,44.0666389465332,39.828224182128906,101.14340209960938,40.89485931396485,35.36724090576172,130.38241577148438,37.17539596557617,42.01778030395508,,47.3559455871582,122.17150115966795,24.895219802856445
2016-01-08,66.32437133789061,58.1087760925293,39.09664535522461,47.98429870605469,31.852060317993164,17.44487190246582,118.46031951904295,56.26157760620117,81.71273803710938,17.545000076293945,22.157033920288086,78.00637817382812,68.72925567626953,43.247901916503906,42.864295959472656,43.57040786743164,39.37289047241211,98.21350860595705,41.00989532470703,35.140823364257805,130.49867248535156,35.992374420166016,40.93144989013672,,48.08038711547852,121.6017608642578,24.44836235046387
2016-01-11,66.59766387939453,57.83655166625977,39.78424835205078,47.1335563659668,31.02756500244141,17.29355239868164,118.6607894897461,54.64369583129883,82.36930084228516,17.565000534057614,22.19477653503418,77.46227264404297,69.09265899658203,43.3685188293457,42.21955108642578,43.55268859863281,39.10504913330078,97.81965637207031,41.21120834350586,35.22233581542969,128.81306457519528,35.79362106323242,39.51448440551758,,47.50846481323242,122.62915802001952,24.560073852539066
2016-01-12,66.94633483886719,58.4393196105957,40.675235748291016,47.39758682250977,31.458763122558594,15.73714828491211,120.21910858154295,54.7592658996582,83.8562240600586,17.584999084472653,22.364633560180664,78.55956268310547,69.43742370605469,43.57265090942383,41.8490104675293,44.261573791503906,39.48002624511719,98.38644409179688,41.70009994506836,35.71140670776367,130.49867248535156,35.98290252685547,40.052921295166016,,47.55612182617188,123.7500228881836,24.611635208129886
2016-01-13,63.76112365722656,57.17544937133789,38.83516693115234,46.34147644042969,29.966148376464844,15.412890434265135,116.75616455078124,54.12809753417969,81.88654327392578,17.254999160766598,21.090702056884766,76.99071502685547,68.22608184814453,41.69834899902344,40.99676132202149,42.9146842956543,38.62292861938477,97.060791015625,40.85651779174805,35.113643646240234,126.2168426513672,35.3961296081543,39.36333465576172,,44.96336364746094,121.16797637939452,24.26789855957031
2016-01-14,64.78831481933594,58.55598831176758,39.270973205566406,46.928199768066406,30.402088165283203,15.650676727294922,117.74037170410156,55.3548583984375,82.59138488769531,17.389999389648438,21.949426651000977,78.60491180419922,68.58016967773439,42.06950759887695,41.28579330444336,42.81720352172852,39.131832122802734,99.38548278808594,41.41251754760742,35.54838562011719,127.582763671875,35.18791198730469,39.75064468383789,,45.95470428466797,121.1585693359375,24.97256278991699
2016-01-15,64.76945495605469,57.04906463623047,37.53742980957031,46.83041000366211,30.094083786010746,14.915688514709473,114.4870147705078,53.88772583007813,81.13343048095703,16.854999542236328,21.477602005004886,76.49195861816406,68.13291168212889,41.29009628295898,39.20334243774414,42.40959167480469,38.47114944458008,98.8091049194336,40.453895568847656,34.11738967895508,122.9521942138672,34.08060073852539,39.627838134765625,,44.9824333190918,118.29486846923828,24.48273468017578
2016-01-19,63.18626022338867,56.39768981933594,37.63427734375,46.37080764770508,29.64392852783203,14.569818496704102,114.87887573242188,53.82389831542969,80.62169647216797,16.649999618530273,21.449291229248047,75.73927307128906,67.51792907714844,42.644775390625,39.45531463623047,42.61339950561523,38.51579666137695,99.76973724365234,41.1728630065918,33.302268981933594,123.2234344482422,33.503292083740234,38.89100646972656,,45.28744888305664,119.5999755859375,24.48273468017578
2016-01-20,63.28993225097656,55.81437301635742,37.827972412109375,45.52984237670898,29.40700340270996,14.569818496704102,111.30657196044922,53.62330627441406,79.5016860961914,16.575000762939453,21.034080505371094,76.39219665527344,67.08927917480469,42.39426040649414,39.01807022094727,42.09944915771485,38.06938171386719,97.67556762695312,41.48920440673828,33.08489990234375,119.32911682128906,33.62631225585937,38.83433532714844,,45.43997192382813,116.59542083740234,24.061655044555664
