Date,APC,APA,BHGE,COG,CVX,CXO,COP,DVN,FANG,EOG,FTI
2016-01-04,47.569862365722656,41.09137725830078,31.056621551513672,17.17173194885254,77.98898315429688,90.18865966796876,43.71620559692383,31.21051979064941,65.82872009277344,67.88163757324219,26.46212959289551
2016-01-05,46.97923278808594,40.25900268554688,30.18244171142578,17.152210235595707,78.65608978271484,90.94781494140624,44.20111846923828,31.70301818847656,64.91263580322266,68.32003021240234,26.09082794189453
2016-01-06,42.380069732666016,35.63471221923828,28.69040679931641,15.639065742492676,75.54881286621094,84.19539642333984,42.289459228515625,29.172954559326172,61.93535614013672,65.58255004882811,24.55127716064453
2016-01-07,38.8362922668457,33.80350112915039,27.94767951965332,16.18575096130371,72.87164306640625,82.3274917602539,41.086517333984375,27.096759796142575,60.14301300048828,63.77054977416992,24.297706604003906
2016-01-08,39.27199935913086,33.89598846435547,27.3298282623291,16.791006088256836,72.0904312133789,84.32524871826172,40.36848068237305,27.521656036376953,60.50148010253906,63.82900619506836,23.54604148864746
2016-01-11,36.551231384277344,32.425464630126946,27.28381729125977,15.619543075561525,70.89667510986328,82.07777404785156,38.34492874145508,26.04417610168457,57.35492324829102,62.0267448425293,23.038898468017575
2016-01-12,36.14457702636719,32.75841522216797,26.97490310668945,15.11190700531006,72.10798645019531,80.42962646484375,37.53364562988281,24.83708381652832,58.27101135253906,61.296104431152344,22.866830825805664
2016-01-13,33.753013610839844,32.924888610839844,25.798362731933594,15.326674461364744,71.38823699951172,78.31201171875,36.36800384521485,23.94866752624512,59.25680160522461,62.68070983886719,22.41402244567871
2016-01-14,33.888561248779304,34.24742889404297,27.060344696044922,15.92216682434082,75.02214813232422,80.85913848876953,38.46615219116211,25.06884765625,62.41331100463867,63.74540328979492,23.111347198486328
2016-01-15,31.003192901611328,32.6751708984375,26.219024658203125,16.019790649414062,73.44218444824219,76.9834976196289,36.70370864868164,23.64931297302246,62.89126968383789,61.508567810058594,22.033660888671875
2016-01-19,29.870344161987305,31.8890438079834,26.15329551696777,16.039316177368164,71.54623413085938,75.89472961425781,33.9434814453125,22.673980712890625,60.22267532348633,59.56473922729492,21.62613296508789
2016-01-20,29.5701904296875,32.24306106567383,25.55516815185547,16.742191314697266,69.32550048828125,72.43860626220703,32.404830932617195,20.848859786987305,60.65084457397461,58.8419189453125,21.354450225830078
2016-01-21,32.48461151123047,34.69319534301758,26.77113914489746,18.206527709960934,71.14244842529297,81.29865264892578,34.419052124023445,23.349950790405273,63.82726669311523,62.27045440673828,21.535573959350586
2016-01-22,34.35331344604492,36.68684768676758,27.632184982299805,19.075368881225586,73.32807922363281,85.77362823486328,35.127758026123054,24.75017547607422,65.88845825195311,64.48777008056639,22.01555061340332
2016-01-25,31.28398704528809,34.87020874023437,25.752351760864254,17.962472915649414,71.00202178955078,80.58944702148438,31.89194679260254,21.988351821899414,61.81586837768555,60.16058731079102,21.173324584960934
2016-01-26,33.49158477783203,35.429168701171875,26.2716064453125,18.967979431152344,73.8371810913086,88.05106353759766,32.96433258056641,23.71690559387207,66.24693298339844,64.49754333496094,21.67141532897949
2016-01-27,34.40173721313477,35.98814392089844,26.836872100830078,19.075477600097656,73.10863494873047,87.84130096435547,33.76628875732422,23.64931297302246,67.97952270507811,64.53661346435547,21.66236114501953
2016-01-28,36.067115783691406,37.82341003417969,28.34204864501953,18.948434829711914,75.41715240478516,90.97777557373048,35.45414733886719,25.87035751342773,72.48029327392578,67.03718566894531,22.024606704711914
2016-01-29,37.84868621826172,39.63074111938477,28.598390579223636,20.277463912963867,75.8999252319336,95.02322387695312,36.44260787963867,26.94225311279297,75.22856140136719,69.37173461914061,22.77626609802246
2016-02-01,37.03535461425781,38.02836990356445,28.45378875732422,20.091793060302734,74.86416625976562,91.90673065185548,35.9949951171875,25.165414810180664,72.29109954833984,67.48651123046875,22.44119071960449
2016-02-02,38.01328659057617,35.913612365722656,27.60588836669922,19.925661087036133,71.3092269897461,88.82019805908203,34.120655059814446,23.84244728088379,70.94684600830078,65.601318359375,21.399730682373047
2016-02-03,41.14071273803711,38.41964340209961,29.18993759155273,20.68790054321289,74.27606201171875,91.1975326538086,36.02297592163086,25.67722511291504,74.5614013671875,68.56098937988281,21.79820251464844
2016-02-04,40.04660034179688,37.95383834838867,29.078205108642575,20.424047470092773,74.42527770996094,89.89898681640625,32.936351776123054,25.648252487182614,71.69365692138672,66.85160064697266,21.988380432128906
2016-02-05,39.4753303527832,36.37942123413086,29.47914886474609,20.18951797485352,72.7487564086914,87.17205047607422,30.67967414855957,23.99695205688477,67.02360534667969,65.50361633300781,21.562740325927734
2016-02-08,38.77819442749024,35.00994873046875,28.14486312866211,20.443592071533203,75.47858428955078,87.05218505859375,32.106430053710945,22.86711311340332,69.65236663818361,66.84183502197266,21.390674591064453
2016-02-09,36.057430267333984,33.146728515625,27.441570281982425,19.143878936767575,72.78386688232422,85.48394775390625,31.31378746032715,21.882131576538086,66.77466583251953,64.06773376464844,20.811079025268555
2016-02-10,36.20267868041992,32.91381454467773,27.28381729125977,19.30023765563965,72.88917541503906,85.8735122680664,30.15746879577637,20.887487411499023,67.04353332519531,64.26312255859375,20.974090576171875
2016-02-11,34.54696655273437,32.02878570556641,26.1467227935791,19.41750717163086,72.84529876708984,84.8047103881836,29.96011161804199,20.52053451538086,67.61109924316406,64.0384521484375,20.620901107788086
2016-02-12,36.60932922363281,34.031753540039055,26.22559928894043,19.30023765563965,74.98704528808594,87.05218505859375,30.91868782043457,20.9454288482666,68.83586883544922,66.1287841796875,20.937864303588867
