Date,APD,ALB,AVY,BLL,CE,CF,EMN,ECL,FMC,FCX
2016-01-04,108.45299530029295,53.08613967895508,57.32634735107422,34.75620651245117,61.64751434326172,35.611427307128906,61.259666442871094,107.97229766845705,31.49868202209473,6.436356067657472
2016-01-05,106.51377868652344,52.27383422851562,57.7666015625,35.1658935546875,62.39329528808594,34.494728088378906,61.70096969604492,108.36583709716795,31.166950225830078,6.5935797691345215
2016-01-06,103.91976165771484,49.9898452758789,57.0921745300293,34.833324432373054,60.76192092895508,31.513916015625,60.50576400756836,103.72982788085938,29.873159408569336,6.062949180603027
2016-01-07,100.43589782714844,47.73452377319336,55.37799835205078,33.91272735595703,58.198326110839844,30.01911926269531,59.52200317382813,101.04227447509766,29.63265037536621,5.512665748596191
2016-01-08,99.91545104980469,46.83621215820313,55.91192626953125,33.633174896240234,57.96527862548828,29.73774719238281,58.52904891967773,100.1592254638672,29.58288955688477,5.3161354064941415
2016-01-11,100.30998992919922,45.90924072265625,55.93066024780274,33.33434295654297,58.077125549316406,28.533111572265625,57.23269653320313,100.41840362548828,29.15991973876953,4.2352209091186515
2016-01-12,101.75389862060548,46.77888488769531,56.10863494873047,34.02357864379883,59.02799606323242,28.61224937438965,57.93144226074219,101.47421264648438,29.483367919921875,4.03869104385376
2016-01-13,99.5208740234375,45.59387969970703,54.95648574829102,33.083709716796875,58.5339241027832,27.92639923095703,57.65562057495117,98.98822784423828,28.47156524658203,3.675110340118408
2016-01-14,99.37815856933594,46.73109436035156,56.13673782348633,33.17045211791992,58.73900985717773,28.68259048461914,58.80486297607422,100.61035919189452,29.32579231262207,4.127129554748535
2016-01-15,98.90805053710938,45.785011291503906,55.20939636230469,33.242759704589844,57.75086212158203,27.759334564208984,56.76380157470703,98.46031951904295,29.06039810180664,4.274526596069337
2016-01-19,100.39393615722656,46.27238845825195,55.237510681152344,33.42110061645508,56.52965545654297,26.59866142272949,56.25812911987305,98.25873565673828,28.869647979736328,3.8912932872772217
2016-01-20,98.68980407714844,45.88056945800781,55.28433609008789,33.06442642211914,55.1872673034668,25.6929874420166,55.88117218017578,98.32593536376952,28.869647979736328,3.999384641647339
2016-01-21,98.36238861083984,47.23759078979492,55.162559509277344,32.32216262817383,55.2618408203125,26.616249084472656,56.31328964233398,97.75962829589844,29.11845588684082,4.254873752593993
2016-01-22,99.87345886230469,49.01508331298828,56.89546203613281,33.14154052734375,56.93983459472656,26.34366607666016,57.51770401000977,100.77352905273438,29.23456573486328,3.87164044380188
2016-01-25,97.64043426513672,47.76319885253906,54.47876739501953,32.114913940429695,55.59744262695313,25.1478271484375,55.8627815246582,99.1130142211914,27.907602310180664,3.87164044380188
2016-01-26,99.40335083007812,49.57892227172852,55.836997985839844,32.69329833984375,57.32204055786133,25.930400848388672,57.61884689331055,99.94805908203124,28.886234283447266,4.127129554748535
2016-01-27,99.11790466308594,48.67105484008789,55.92129135131836,31.859453201293945,57.48051834106445,26.431598663330078,56.99364852905274,98.65228271484376,28.78671646118164,4.569321632385254
2016-01-28,99.90704345703124,49.46423721313477,55.59344863891602,32.245052337646484,57.90933609008789,26.669004440307614,57.9774055480957,99.8232879638672,28.71207046508789,4.343311786651611
2016-01-29,106.3710708618164,50.30520629882813,57.03596878051758,32.21130752563477,59.35427856445313,26.37883758544922,56.27651596069336,103.5378646850586,29.62435913085937,4.52018928527832
2016-02-01,110.19072723388672,50.47722625732422,57.1671142578125,32.389636993408196,57.30339813232422,26.58986854553223,55.58696365356445,103.1059341430664,29.58288955688477,4.657760143280028
2016-02-02,109.81295013427734,49.55981063842773,56.07116317749024,31.60881996154785,55.634727478027344,25.895227432250977,54.00560760498047,100.71593475341795,28.63743019104004,4.274526596069337
2016-02-03,111.9704360961914,51.14618301391602,59.70558166503906,31.86909484863281,56.38050079345703,26.42280578613281,56.35926055908203,102.97154998779295,29.92292213439941,4.7658514976501465
2016-02-04,114.30419921875,49.64582061767578,60.29570388793945,32.698108673095696,56.7347412109375,26.897624969482425,56.41442489624024,104.78564453125,31.18353271484375,5.62075662612915
2016-02-05,113.83407592773438,49.25400161743164,59.19976425170898,31.435304641723636,55.0101432800293,26.35246086120605,55.52259826660156,101.9061508178711,30.64445304870605,5.581450939178467
2016-02-08,109.7625732421875,46.62596893310547,57.44812774658203,30.79425811767578,52.58638000488281,24.629045486450195,54.03317642211914,99.45854949951172,28.98575592041016,5.178564071655273
2016-02-09,111.19810485839844,47.67718887329102,58.90938186645508,31.40156364440918,53.63978576660156,25.03351783752441,53.7205810546875,102.894775390625,28.63743019104004,4.9132490158081055
2016-02-10,109.5107421875,47.86831283569336,59.049888610839844,31.45458602905273,53.08045196533203,24.731372833251953,53.92284393310547,101.94451904296876,28.37204170227051,4.893596172332764
2016-02-11,106.79080200195312,47.86831283569336,58.3380012512207,30.88583755493164,52.30260848999024,25.8066520690918,53.72977828979492,99.15139770507812,27.808086395263672,4.80515718460083
2016-02-12,109.42681121826172,49.10110092163086,59.93039321899414,31.41120529174805,53.708351135253906,26.65976333618164,55.77084350585938,102.34766387939452,29.06039810180664,5.434053421020508
2016-02-16,110.26628112792969,49.9994010925293,60.72659683227539,31.93657493591309,55.00161743164063,27.672834396362305,57.33382415771485,104.28653717041016,30.51175880432129,6.259479522705077
2016-02-17,111.24008178710938,50.42944717407226,60.1364631652832,32.351085662841804,55.72323226928711,28.17048645019531,58.70373153686523,105.5439224243164,31.399158477783203,7.0357728004455575
