Date,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BK,BBT,BLK,COF,CBOE,CB,CINF,C,CFG,CME,CMA,DFS,ETFC,FITB,FRC,BEN
2016-07-05,132.09768676757812,32.24979019165039,65.85977172851561,56.65666580200195,47.99866104125977,80.23863983154297,104.50138092041016,44.0364990234375,80.22482299804688,12.151012420654295,35.054431915283196,31.57040405273437,313.9418640136719,57.16498947143555,65.23884582519531,121.7152328491211,68.95726013183594,38.5324592590332,17.62453269958496,87.49909973144531,37.15187072753906,49.4536018371582,22.19709587097168,15.578919410705565,55.41330337524414,30.21233940124512
2016-07-06,130.38481140136722,32.57003402709961,66.00231170654297,56.9727554321289,48.04552459716797,80.68209838867188,104.30838012695312,44.33284759521485,80.140380859375,12.265466690063475,35.224369049072266,31.79181480407715,313.9698791503906,57.55949401855469,64.74526977539061,122.05498504638672,69.16007232666016,38.79702377319336,17.70846176147461,87.71363830566406,37.77818298339844,49.97336959838867,22.435665130615234,15.644224166870115,54.88844680786133,30.427478790283203
2016-07-07,132.2650146484375,32.213699340820305,65.50818634033203,57.28884506225586,48.57040786743164,81.37500762939453,105.1382827758789,44.4532470703125,79.2207260131836,12.408531188964846,35.64921569824219,32.07781219482422,313.0357666015625,58.13245391845703,64.72592163085939,121.38497924804688,69.11397552490234,39.01435470581055,18.109447479248047,87.74047088623047,38.43296813964844,50.29468154907226,22.91280937194824,15.812138557434082,55.97916793823242,30.492950439453125
2016-07-08,136.68502807617188,32.696319580078125,66.19235229492189,58.89802551269531,49.685791015625,83.92488861083984,105.7365951538086,45.10152053833008,81.10693359375,12.561134338378904,36.33840942382813,32.49297332763672,322.4610900878906,60.7812385559082,65.46143341064453,122.90428924560548,69.78695678710939,39.66632080078125,18.51042366027832,88.41093444824219,39.381927490234375,51.95793914794922,23.449594497680664,16.091997146606445,56.81565856933594,31.78376197814941
2016-07-11,137.78756713867188,32.773006439208984,66.45841979980469,59.53977584838867,49.94822692871094,84.68248748779297,106.31559753417969,45.36083221435547,81.51985168457031,12.599285125732422,36.43281555175781,32.64058303833008,324.6095886230469,62.23714065551758,65.82919311523439,122.63060760498048,70.21103668212889,39.95923614501953,18.762205123901367,88.8221435546875,39.48630905151367,52.58166122436523,23.49929618835449,16.250585556030273,57.72595596313477,31.75569725036621
2016-07-12,141.49879455566406,33.01656723022461,66.13532257080078,60.34437561035156,50.48248672485352,87.41715240478516,106.69195556640624,45.53679656982422,82.1391830444336,12.914027214050293,37.16921615600586,33.231033325195305,333.8294372558594,63.73060989379883,66.12920379638672,122.33808135986328,70.14649200439453,41.045860290527344,19.060609817504886,89.1797103881836,40.65353775024414,53.57394409179688,24.40388107299805,16.689035415649414,58.73466110229492,32.588172912597656
2016-07-13,140.69155883789062,33.05264663696289,65.83127593994139,60.44015884399414,50.43562316894531,86.7057876586914,106.40245056152344,45.16636276245117,82.52393341064453,12.818650245666506,37.20697784423828,33.12031936645508,333.9508361816406,63.81513977050781,65.56790924072266,122.20596313476562,70.24790191650389,40.9419174194336,19.172510147094727,89.11714935302734,40.53966522216797,53.59285354614258,24.314414978027344,16.73567771911621,58.5870475769043,32.24209213256836
2016-07-14,141.9811553955078,33.24208450317383,65.85977172851561,60.92866134643555,50.98862075805664,88.47037506103516,106.68230438232422,45.33305740356445,82.87115478515625,13.018941879272461,37.47133255004883,33.830699920654304,331.79302978515625,64.66988372802734,66.15824127197266,122.58341979980469,70.76416015625,42.00019073486328,19.57349395751953,90.54745483398438,41.37474822998047,54.2827262878418,24.702096939086914,17.20211410522461,58.4558219909668,32.40110015869141
2016-07-15,142.38475036621094,33.08873748779297,66.03081512451172,61.09149932861328,51.02611541748047,88.913818359375,106.962158203125,45.39787292480469,82.51455688476562,13.02847957611084,37.56573486328125,33.922962188720696,333.34368896484375,64.01239776611328,66.35179901123047,122.2720184326172,70.02665710449219,41.886810302734375,19.564165115356445,91.0301742553711,41.43169403076172,54.26382064819336,24.751798629760746,17.295400619506836,58.88227462768555,32.44786834716797
2016-07-18,144.13699340820312,33.021072387695305,65.89778137207031,61.29264831542969,51.13859558105469,89.44043731689453,106.65335845947266,45.03669738769531,82.19548034667969,13.45767593383789,37.697914123535156,33.83993530273437,334.2124328613281,63.98422241210938,65.99372100830078,122.0077896118164,69.60256958007811,42.11357879638672,19.564165115356445,90.73518371582031,41.49811553955078,53.95196533203125,24.7120361328125,17.19278335571289,58.30821228027344,32.72848129272461
