Date,ARE,AMT,AIV,AVB,BXP,CBRE,CCI,DLR,DRE,EQIX,EQR,ESS,EXR,FRT
2018-06-19,122.57365417480469,136.93086242675778,39.73067474365234,161.84376525878906,115.2706527709961,48.709999084472656,99.09271240234376,103.4931869506836,27.66932487487793,395.05169677734375,60.03192901611328,225.62771606445312,94.74090576171876,114.41986846923828
2018-06-20,122.80645751953124,138.36830139160156,40.41316604614258,163.79800415039062,117.64826965332031,49.04999923706055,99.73433685302734,104.0385971069336,28.05090141296387,403.8620910644531,60.66119003295898,226.5980682373047,95.57794189453124,116.5979232788086
2018-06-21,122.62216186523438,139.49067687988278,40.98840713500977,164.37847900390625,118.75458526611328,48.72000122070313,100.0454330444336,104.4671401977539,28.10960578918457,412.00384521484375,60.85481643676758,227.65577697753903,97.02816009521484,120.73667907714844
2018-06-22,123.27207946777344,140.61308288574222,41.32965087890625,165.26852416992188,121.88916778564452,48.79999923706055,100.71622467041016,105.08074188232422,28.138959884643555,411.86614990234375,61.63600158691406,228.40293884277344,96.61936950683594,122.61083984375
2018-06-25,122.1662368774414,139.95343017578122,41.368648529052734,166.6229248046875,121.47185516357422,47.11999893188477,101.3772964477539,105.23657989501952,28.256366729736328,411.5810241699219,62.16331100463867,227.4908142089844,97.33961486816406,122.72797393798828
2018-06-26,121.83642578125,140.95765686035156,41.2906494140625,165.73289489746094,120.88959503173828,47.209999084472656,103.39939880371094,106.38585662841795,28.32485771179199,421.83685302734375,61.54812240600586,227.65577697753903,98.26425170898438,121.97635650634766
2018-06-27,121.07980346679688,141.13490295410156,40.77391052246094,164.08822631835938,120.56934356689452,47.13000106811523,103.37023162841795,106.78517150878906,28.197664260864254,418.4641418457031,61.21611404418945,226.1225891113281,96.98922729492188,121.96659088134766
2018-06-28,123.4742202758789,142.03082275390625,41.10540771484375,167.27943420410156,122.03446197509766,47.349998474121094,104.6048812866211,107.51564025878906,28.35420799255371,419.9194030761719,61.81177139282226,230.4460906982422,97.42720794677734,123.15746307373048
2018-06-29,123.30807495117188,141.9422149658203,41.24190521240234,167.7478790283203,122.5032958984375,47.7400016784668,104.81875610351562,108.6746597290039,28.40312957763672,422.71197509765625,62.192604064941406,233.85009765625,97.14495086669922,123.52839660644531
2018-07-02,122.82919311523438,142.4344940185547,40.96890640258789,166.48895263671875,121.79027557373048,47.65999984741211,105.16873931884766,109.01554870605469,28.11939239501953,421.0600280761719,61.97777938842773,231.06234741210938,96.21058654785156,121.76161193847656
2018-07-03,123.77719116210938,140.81983947753906,41.04690170288086,166.8597869873047,121.6828384399414,47.61000061035156,105.97563934326172,109.56095886230469,28.45204734802246,419.1229248046875,62.10471725463867,231.06234741210938,96.6291046142578,122.01539611816406
2018-07-05,124.75450134277344,143.41903686523438,41.22240447998047,168.23582458496094,123.13817596435548,48.18999862670898,107.91024017333984,111.61602783203124,28.579240798950195,432.8006896972656,62.83708572387695,233.4881896972656,97.98198699951172,123.26483917236328
2018-07-06,124.7740478515625,143.55686950683594,41.28089904785156,168.72377014160156,123.3628387451172,48.599998474121094,108.17272186279295,112.2978057861328,28.59881019592285,438.2579956054688,63.2667465209961,234.7793731689453,98.06959533691406,123.86027526855469
2018-07-09,125.29202270507812,139.98295593261722,41.04690170288086,167.75762939453125,123.10887908935548,49.20000076293945,106.5589370727539,111.49915313720705,28.28572082519531,435.1213073730469,63.032386779785156,233.46861267089844,96.65829467773438,123.49910736083984
2018-07-10,124.4906234741211,141.3219451904297,41.19314956665039,169.33859252929688,122.92328643798828,49.349998474121094,107.52136993408205,112.81400299072266,28.305288314819336,438.4350280761719,63.3448600769043,235.3662567138672,96.5804443359375,123.26483917236328
2018-07-11,125.12588500976562,141.19395446777344,41.77814483642578,169.7386932373047,123.0112075805664,48.18999862670898,107.77413940429688,113.21331787109376,28.33463859558105,436.06524658203125,63.3448600769043,237.3128204345703,96.24951934814452,121.90802764892578
2018-07-12,125.02816009521484,141.53854370117188,41.88539505004883,170.0607452392578,124.00748443603516,48.61999893188477,107.66719818115234,113.23280334472656,28.39334487915039,438.228515625,63.59873962402344,237.39108276367188,96.02566528320312,122.60107421875
2018-07-13,125.00861358642578,141.01673889160156,41.59289932250977,169.1726837158203,124.35911560058594,49.11000061035156,107.96857452392578,113.21331787109376,28.29550361633301,436.0259094238281,62.983558654785156,234.3880920410156,94.2250518798828,122.1032485961914
2018-07-16,124.08015441894531,139.5694580078125,41.41740036010742,168.4895477294922,123.97818756103516,48.790000915527344,107.4922103881836,112.64842987060548,28.207448959350586,432.4368591308594,62.91520690917969,230.9840850830078,94.12772369384766,121.75186157226562
2018-07-17,122.91714477539062,139.97312927246094,40.97865295410156,167.2404022216797,122.74748229980469,49.66999816894531,107.78385925292969,112.91139221191406,27.65953826904297,431.1290893554688,62.35860824584961,227.65830993652344,92.15193176269531,121.01976013183594
2018-07-18,122.79010009765624,139.19532775878906,40.82265853881836,167.15255737304688,122.25910186767578,49.97999954223633,107.36582946777344,112.2685775756836,27.718244552612305,427.294189453125,62.54414367675781,226.52365112304688,91.8696746826172,120.21934509277344
2018-07-19,124.0410614013672,139.48085021972656,41.19314956665039,168.24557495117188,123.85120391845705,49.65999984741211,107.9394073486328,113.64186096191406,27.92370986938477,429.8901062011719,62.77849960327149,227.4626922607422,92.58018493652344,121.81041717529295
2018-07-20,121.86164855957031,138.21076965332028,40.77391052246094,166.43038940429688,122.27865600585938,49.33000183105469,107.25889587402344,112.97957611083984,27.39537239074707,426.9697265625,61.7336540222168,224.3423309326172,92.04486846923828,121.29307556152344
2018-07-23,120.7475128173828,138.66366577148438,40.55941390991211,166.24497985839844,121.3311996459961,49.20000076293945,105.72286987304688,112.81400299072266,27.268177032470703,421.6401672363281,61.7434196472168,224.6357879638672,91.47062683105469,121.50782012939452
2018-07-24,120.08293151855469,139.38240051269528,40.45216751098633,166.4694366455078,121.78050231933594,49.18000030517578,104.9840316772461,112.25884246826172,27.07249641418457,421.5713806152344,62.0070686340332,224.70425415039062,91.11050415039062,120.970947265625
2018-07-25,120.54226684570312,140.73123168945312,40.99815368652344,168.34317016601562,121.96609497070312,49.349998474121094,105.8881378173828,113.97300720214844,27.44429016113281,425.4161071777344,63.09097290039063,227.65830993652344,91.73340606689452,122.06421661376952
2018-07-26,120.50318908691406,142.27696228027344,41.202903747558594,168.71401977539062,121.6242218017578,49.84000015258789,106.5006103515625,113.95353698730469,28.45204734802246,427.933349609375,62.983558654785156,228.40171813964844,92.17139434814452,119.95578002929688
2018-07-27,119.77019500732422,142.14898681640625,40.84215927124024,168.0796661376953,120.01260375976562,49.97000122070313,106.02424621582031,117.9565200805664,28.060686111450195,435.7997741699219,62.52460861206055,228.1962890625,90.4194564819336,117.79854583740234
2018-07-30,120.0340576171875,140.51463317871094,40.72516250610352,168.02113342285156,119.23120880126952,49.18000030517578,106.5589370727539,117.60589599609376,27.95306205749512,425.4357604980469,62.27072143554688,228.69517517089844,91.01317596435548,119.51652526855469
2018-07-31,124.5492706298828,145.9493408203125,41.58314895629883,172.58836364746094,122.6107406616211,49.79999923706055,107.74497985839844,118.2584457397461,28.49118614196777,431.9452209472656,63.89169311523438,235.1999664306641,91.4608917236328,122.5034637451172
2018-08-01,125.26271057128906,147.8494873046875,41.70014953613281,173.9155731201172,126.82050323486328,49.86000061035156,108.4352035522461,118.36558532714844,28.677082061767575,437.6975402832031,64.36042022705078,235.63038635253903,90.15666961669922,121.99588012695312
2018-08-02,123.19081115722656,145.9197998046875,41.729393005371094,174.19857788085938,125.90235900878906,49.31999969482422,108.15328216552734,117.88833618164062,28.54989051818848,440.4114685058594,64.41899871826172,229.06686401367188,88.52152252197266,123.03057098388672
2018-08-03,124.56881713867188,148.65682983398438,42.714134216308594,175.7405242919922,126.09771728515624,49.5,109.3587646484375,119.38824462890624,28.755355834960934,447.8255310058594,65.33690643310547,237.1171875,89.73814392089844,125.15851593017578
2018-08-06,125.30181121826172,148.57806396484375,42.25588989257813,175.86737060546875,126.5567855834961,49.36999893188477,107.91024017333984,118.90126037597656,28.677082061767575,445.3082885742188,65.42478179931639,237.4693298339844,90.92557525634766,123.22579193115234
2018-08-07,124.58836364746094,147.71165466308594,42.324134826660156,174.7743682861328,126.72283935546876,49.599998474121094,108.15328216552734,118.94995880126952,28.52053642272949,440.4212646484375,65.33690643310547,237.99752807617188,91.1494369506836,122.1618194580078
2018-08-08,123.96287536621094,147.0126495361328,42.04138946533203,173.96435546875,126.64469146728516,48.06999969482422,106.8991928100586,118.37532806396484,28.5107536315918,440.0279541015625,64.98536682128906,234.02618408203125,91.08130645751952,122.6498794555664
2018-08-09,123.6012725830078,148.2433319091797,42.13888931274414,174.5791778564453,126.3028335571289,47.97000122070313,108.31854248046876,118.64803314208984,28.37377548217773,437.5598449707031,65.31736755371094,234.3098297119141,90.80878448486328,122.96223449707031
2018-08-10,122.3698501586914,146.87478637695312,41.81714630126953,172.92990112304688,125.94144439697266,46.9900016784668,107.26860809326172,117.8104248046875,28.207448959350586,429.93927001953125,64.40923309326172,231.4535980224609,90.4194564819336,122.054443359375
