Date,AES,AEE,AEP,AWK,ATO,CNP,CMS,ED,D,DTE,DUK,EIX,ETR,EVRG,ES,EXC,FE
2016-01-04,8.105422973632812,38.838783264160156,51.99953842163086,56.46224594116211,57.95333480834961,15.933425903320312,32.079788208007805,57.30093383789063,58.90575790405274,70.121337890625,61.87982177734375,52.67071914672852,59.24575424194336,,45.83238220214844,24.681385040283203,27.332660675048828
2016-01-05,8.217160224914549,39.299110412597656,52.42744827270508,56.30311965942383,58.16704177856445,16.081682205200195,32.33203887939453,57.75472259521485,59.4121322631836,70.83902740478516,62.32312393188477,52.68859100341797,59.565391540527344,,46.25575637817383,24.84904670715332,27.36737060546875
2016-01-06,7.933514595031737,39.55183029174805,52.62356567382813,56.05974578857422,58.35289001464844,15.881097793579102,32.37706756591797,58.030540466308594,59.7788200378418,70.52007293701172,62.46220779418945,52.34013748168945,59.18528747558594,,46.35485076904297,24.875518798828125,27.6363582611084
2016-01-07,7.735820770263673,39.578914642333984,52.01736068725586,55.638526916503906,57.78607559204102,15.567140579223633,32.57526016235352,58.47542190551758,59.81372833251953,69.74919891357422,61.88850784301758,52.08102798461914,58.34730529785156,,46.06658935546875,24.56667137145996,26.8988094329834
2016-01-08,7.847559928894043,39.27202987670898,51.93714141845703,55.85381317138672,57.85112380981445,15.532256126403807,32.52121734619141,59.10715866088867,60.69552612304688,69.44793701171875,61.74945449829102,52.07209014892578,58.33001708984375,,45.77833938598633,24.549020767211914,27.410755157470703
2016-01-11,7.761606693267822,39.28105545043945,52.39178848266602,56.39672470092773,58.04626083374024,15.349113464355467,32.50319290161133,59.00038146972656,60.5994987487793,70.13019561767578,62.43613815307617,52.89409637451172,58.35594940185547,,45.967506408691406,24.76080703735352,27.827253341674805
2016-01-12,7.520937919616699,39.154693603515625,51.85690307617188,56.34055709838867,57.69316101074219,15.087480545043945,32.35005569458008,58.27968215942383,60.15423583984375,70.52892303466797,61.9493522644043,53.072792053222656,59.09025573730469,,46.0485725402832,24.654916763305664,27.92269897460937
2016-01-13,7.426387310028076,38.93806838989258,51.66077423095703,56.24695587158203,57.36795043945313,14.886893272399902,32.54824066162109,59.32960891723633,60.25900268554688,71.10485076904297,62.32312393188477,53.0549201965332,58.9174690246582,,46.21071243286133,24.301942825317386,27.332660675048828
2016-01-14,7.6068902015686035,39.452552795410156,52.72162246704102,56.98643493652344,58.52013397216797,15.375276565551758,33.070735931396484,60.165977478027344,60.82649230957031,72.05291748046875,62.90549850463867,53.206809997558594,59.6949691772461,,46.71516036987305,24.628440856933594,28.25243186950684
2016-01-15,7.340434551239014,39.27202987670898,52.32046127319336,56.61201095581055,58.51084518432617,15.087480545043945,32.602283477783196,60.21936416625977,60.13676834106445,71.3617935180664,62.6534309387207,52.822608947753906,58.82244491577149,,46.29179000854492,24.23134803771973,27.61900520324707
2016-01-19,7.4951515197753915,39.217872619628906,53.104957580566406,57.10811996459961,59.43074417114258,15.261903762817385,33.214866638183594,61.456138610839844,61.02730178833008,72.85922241210938,63.59220504760742,53.716087341308594,59.49629211425781,,47.37274551391602,24.39018630981445,28.191688537597656
2016-01-20,7.409196853637695,38.20695877075195,51.634033203125,56.74305725097656,57.971923828125,14.738635063171387,32.395092010498054,60.726539611816406,60.00581359863281,71.05169677734375,62.07974624633789,52.72433090209961,57.50067901611328,,46.075599670410156,23.63129997253418,27.0029354095459
2016-01-21,7.830370426177978,38.02644348144531,51.38441848754883,56.39672470092773,57.96262741088867,15.200851440429688,32.395092010498054,60.22826385498047,59.79628372192383,70.21881866455078,61.79290008544922,52.4652214050293,57.60436248779297,,45.56214904785156,24.196054458618164,27.15911674499512
2016-01-22,7.881941795349121,38.766578674316406,52.17782974243164,58.44665908813477,59.48648452758789,15.50609302520752,32.92660140991211,60.47738647460938,60.90507888793945,72.06177520751953,62.74036026000977,53.36764144897461,59.37533950805664,,46.46294021606445,24.73433494567871,28.00946807861328
2016-01-25,7.512341499328612,38.51384353637695,51.48248672485352,57.51061630249024,59.319236755371094,14.91305923461914,32.773452758789055,60.33503341674805,60.73045349121094,71.55674743652344,62.410057067871094,53.53738784790039,58.38186645507813,,46.5169792175293,23.96662521362305,27.61032867431641
2016-01-26,7.77020263671875,38.59508895874024,51.883644104003906,58.36240768432617,60.77806091308594,15.148526191711426,33.223888397216804,60.49519729614258,60.87014389038086,72.38960266113281,62.77512741088867,54.23431396484375,59.34942245483398,,46.97639846801758,24.56667137145996,27.83592987060547
2016-01-27,7.804584503173827,38.99222183227539,51.87473678588867,58.44665908813477,60.51787948608398,15.09620189666748,33.665306091308594,60.79771423339844,60.861412048339844,72.65543365478516,62.94027709960938,54.05562210083008,60.08373260498047,,47.1295280456543,24.75198173522949,27.69709587097168
2016-01-28,7.873345375061035,39.578914642333984,52.99798965454102,59.39207077026367,62.43201065063477,15.29679012298584,34.11574172973633,61.52732849121094,61.9352912902832,73.76297760009766,63.86166000366211,55.002708435058594,60.95625686645508,,47.82313919067383,25.33437728881836,27.88799285888672
2016-01-29,8.264838218688965,40.54469680786133,54.35302734375,60.758689880371094,64.31826019287111,15.58458423614502,35.02561569213867,61.74087524414063,63.0091438293457,75.32241821289062,65.45233154296875,55.21713256835938,60.973533630371094,,48.46269989013672,26.093265533447266,28.68627738952637
2016-02-01,8.230039596557617,41.21261215209961,55.08403015136719,60.87102127075195,63.73286437988281,16.238666534423828,35.30487823486328,62.65732192993164,61.27177047729492,75.5882339477539,66.92998504638672,55.601341247558594,61.85470962524414,,49.15631103515625,26.47270393371582,28.67759895324707
